title,episodes
Quality Assurance in Another World,
Alya Sometimes Hides Her Feelings in Russian,
"100 Girlfriends Who Really, Really, Really, Really, Really Love You",
Hyakushō Kizoku,
Ishura,
Kingdoms of Ruin,
VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,
TenPuru,
Rokudo's Bad Girls,
Tales of Wedding Rings,
Girl I Like Forgot Her Glasses,
Whisper Me a Love Song,
Zom 100: Bucket List of the Dead,
Vexations of a Shut-In Vampire Princess,
Ron Kamonohashi: Deranged Detective,
Firefighter Daigo: Rescuer in Orange,
Unnamed Memory,
I'm in Love with the Villainess,
Stella of the Theater: World Dai Star,
My Clueless First Friend,
Dead Mount Death Play,
Kizuna no Allele,
Weakest Tamer Began a Journey to Pick Up Trash,
Campfire Cooking in Another World with My Absurd Skill,
Berserk of Gluttony,
Most Heretical Last Boss Queen: From Villainess to Savior,
Hokkaido Gals Are Super Adorable!,
Buddy Daddies,
Heavenly Delusion,
Girl & Her Guard Dog,
Revenger,
Giant Beasts of Ars,
Too Cute Crisis,
UniteUp!,
My Love Story With Yamada-kun at Lv999,
Café Terrace and Its Goddesses,
Tearmoon Empire,
I Got a Cheat Skill in Another World,
Magical Revolution of the Reincarnated Princess,
Harem Camp!,
Delicious in Dungeon,
"Reborn as a Vending Machine, I Now Wander the Dungeon",
Aristocrat's Otherworldly Adventure: Serving Gods Who Go Too Far,
Dangers in My Heart,
"Saving 80,000 Gold in Another World for My Retirement",
Sasaki and Peeps,
Chillin' in My 30s after Getting Fired from the Demon King's Army,
Aru Asa Dummy Head Mike ni Natteita Ore-kun no Jinsei,
Why Raeliana Ended Up at the Duke's Mansion,
Mashle: Magic and Muscles,
tale of outcasts,
Akiba Maid War,
Ice Guy and His Cool Female Colleague,
My Home Hero,
Trigun Stampede,
Saint Cecilia and Pastor Lawrence,
Otaku Elf,
Beast Tamer,
Oshi no Ko,
Konosuba: An Explosion on This Wonderful World!,
Masterful Cat Is Depressed Again Today,
Smile of the Arsnotoria the Animation,
Maid I Hired Recently Is Mysterious,
Yuri Is My Job!,
Kubo Won't Let Me Be Invisible,
Legendary Hero is Dead!,
Iceblade Sorcerer Shall Rule the World,
Galaxy Next Door,
KamiKatsu: Working for God in a Godless World,
ONIMAI: I'm Now Your Sister!,
Ao no Orchestra,
My Happy Marriage,
[email protected] Cinderella Girls U149,
Little Lies We All Tell,
Farming Life in Another World,
Engage Kiss,
OPUS.COLORs,
Love Flops,
RWBY: Ice Queendom,
Shine on! Bakumatsu Bad Boys,
Ragna Crimson,
Housing Complex C,
Daily Life of the Immortal King,
My Life as Inukai-san's Dog,
Spy Classroom,
My One-Hit Kill Sister,
Immoral Guild,
Vermeil in Gold,
High Card,
I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,
NieR:Automata Ver 1.1a,
Shinobi no Ittoki,
Black Summoner,
Offering My Virginity to a Gangster,
Extreme Hearts,
Onipan!,
Legend of Heroes: Trails of Cold Steel - Northern War,
Fire Hunter,
Reincarnation of the Strongest Exorcist In Another World,
Bibliophile Princess,
Prima Doll,
Lucifer and the Biscuit Hammer,
alice gear aegis Expansion,
Kaina of the Great Snow Sea,
ESTAB LIFE: Great Escape,
Handyman Saitō in Another World,
Harem in the Labyrinth of Another World,
Insomniacs After School,
Teppen—!!!!!!!!!!!!!!! Laughing 'til you Cry,
Angel Next Door Spoils Me Rotten,
Lycoris Recoil,
Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,
Ayakashi Triangle,
Migi & Dali,
Reign of the Seven Spellblades,
Reborn to Master the Blade: From Hero-King to Extraordinary Squire,
Phantom of the Idol,
Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,
"More Than a Married Couple, But Not Lovers",
Skip and Loafer,
Chained Soldier,
Shoot! Goal to the Future,
Malevolent Spirits: Mononogatari,
Ya Boy Kongming!,
Call of the Night,
Tomodachi Game,
Irodorimidori,
Spy×Family,
Birdie Wing -Golf Girls' Story-,
Summoned to Another World for a Second Time,
"3 Seconds Later, He Turned Into a Beast",
Arknights: Prelude to Dawn,
Demon Sword Master of Excalibur Academy,
Salaryman's Club,
I'm Quitting Heroing,
Prince of Tennis II: U-17 World Cup,
Ancient Girl's Frame,
Sugar Apple Fairy Tale,
"I'm the Villainess, So I'm Taming the Final Boss",
Tribe Nine,
Classroom For Heroes,
Reincarnated as a Sword,
