title
Fullmetal Alchemist
Death Note
Cowboy Bebop
Melancholy of Haruhi Suzumiya
Elfen Lied
Neon Genesis Evangelion
Code Geass: Lelouch of the Rebellion
Bleach
Code Geass: Lelouch of the Rebellion R2
Naruto
Samurai Champloo
Trigun
Gurren Lagann
Full Metal Panic!
Ouran High School Host Club
Fullmetal Alchemist: Brotherhood
Clannad
Fruits Basket
Chobits
Full Metal Panic? Fumoffu
Rurouni Kenshin
Clannad After Story
Hellsing
Azumanga Daioh
Ghost in the Shell: Stand Alone Complex
Mushi-Shi
Darker than Black
Steins;Gate
Fate/stay night
Claymore
Toradora!
Inuyasha
Full Metal Panic! The Second Raid
Black Lagoon
Blood+
Angel Beats!
Dragon Ball Z
Eureka Seven
Air
Berserk
Love Hina
Last Exile
When They Cry - Higurashi
GTO: Great Teacher Onizuka
Baccano!
Wolf's Rain
Welcome to the NHK
Sword Art Online
Serial Experiments Lain
Shakugan no Shana
Haibane Renmei
One Piece
Attack on Titan
Naruto Shippūden
Vision of Escaflowne
Samurai 7
Soul Eater
Ergo Proxy
Black Lagoon: The Second Barrage
Spice and Wolf
School Rumble
Lucky Star
Eden of the East
Kanon
Gungrave
Puella Magi Madoka Magica
Dragon Ball
Monster
High School of the Dead
Chrono Crusade
Bakemonogatari
anohana: The Flower We Saw That Day
Gunslinger Girl
Lunar Legend Tsukihime
Familiar of Zero
Yu Yu Hakusho: Ghost Files
R.O.D -The TV-
Mobile Suit Gundam Seed
Durarara!!
Paranoia Agent
My-HiME
Cardcaptor Sakura
Outlaw Star
Ah! My Goddess
RahXephon
Mobile Suit Gundam Wing
.hack//SIGN
Please Teacher!
K-ON!
Rumbling Hearts
Honey and Clover
D.N.Angel
Gankutsuou: The Count of Monte Cristo
Witch Hunter Robin
Trinity Blood
Kimi ni Todoke - From Me to You
Nodame Cantabile
Shuffle!
Excel Saga
Genshiken
Ghost in the Shell: Stand Alone Complex 2nd GIG
BECK: Mongolian Chop Squad
Kino's Journey
Gantz
Twelve Kingdoms
When They Cry - Kai
Vampire Knight
Scrapped Princess
Tsubasa: RESERVoir CHRoNiCLE
Black Cat
His and Her Circumstances
Noir
Sailor Moon
D.Gray-man
xxxHOLiC
Hunter X Hunter
ef: a tale of memories
Moribito - Guardian of the Spirit
Midori Days
School Rumble: 2nd Semester
Planetes
Rosario + Vampire
Bamboo Blade
Ga-Rei-Zero
Speed Grapher
Kaze no Stigma
Looking Up At The Half-Moon
A Certain Magical Index
Romeo × Juliet
Basilisk
Blue Exorcist
Future Diary
Mobile Suit Gundam 00
Black Butler
Another
Fairy Tail
Ai Yori Aoshi
Spice and Wolf II
Familiar of Zero: Knight of the Twin Moons
S-CRY-ed
Strawberry Panic!
Skip Beat!
Dragon Ball GT
Please Twins!
Kurenai
Karin
"Now and Then, Here and There"
Kaleido Star
KenIchi the Mightiest Disciple
Oreimo
Air Gear
NANA
Rozen Maiden
Fate/Zero
Honey and Clover II
Vandread
Destiny of the Shrine Maiden
Ranma ½
Darker than Black: Gemini of the Meteor
Shakugan no Shana Second
Psycho-Pass
My Bride is a Mermaid
School Days
Lovely Complex
Corpse Princess: Aka
Pokémon
Maria Watches Over Us
Afro Samurai
Tenjho Tenge
Utawarerumono
Mobile Suit Gundam Seed Destiny
X
Maid Sama!
"She, The Ultimate Weapon"
Deadman Wonderland
Melancholy of Haruhi Suzumiya
Ghost Hunt
Bludgeoning Angel Dokuro-chan
Sayonara Zetsubou-sensei
Bunny Drop
Hell Girl
Negima!
Noein - to your other self
Birdy the Mighty: Decode
One Punch Man
Slayers
Digimon Adventure
World God Only Knows
A Certain Scientific Railgun
Baka and Test - Summon the Beasts
Myself; Yourself
Vampire Knight Guilty
Sekirei
Big O
Getbackers
Fushigi Yugi
Heroic Age
Kill la Kill
Devil Is a Part-Timer!
Corpse Princess: Kuro
Buso Renkin
Hikaru no Go
Samurai Deeper Kyo
Hajime no Ippo
Cat Planet Cuties
Case Closed
True Tears
Vandread: The Second Stage
K-ON!!
Rideback
Guilty Crown
Gosick
DearS
Suzuka
Rosario + Vampire Capu2
Magical Shopping Arcade Abenobashi
Ah! My Goddess: Flights of Fancy
"No Game, No Life"
Gravitation
Martian Successor Nadesico
My-Otome
Fate/Zero
Hayate the Combat Butler
Crest of the Stars
Blassreiter
Black Blood Brothers
Devil May Cry
Angelic Layer
Familiar of Zero: Rondo of Princesses
Birdy the Mighty Decode:02
Natsume's Book of Friends
Macross Frontier
Yakitate!! Japan
Casshern Sins
Minami-ke
Blue Gender
Ikki Tousen
Squid Girl
Mobile Suit Gundam 00 Second Season
Kurokami The Animation
Demon King Daimao
Paradise Kiss
MoonPhase
Ai Yori Aoshi ~Enishi~
Chaos;HEAd
Haganai
Tenchi Universe
Mahoromatic - Automatic Maiden
CANAAN
Shonen Onmyouji
Is This a Zombie?
Maburaho
Rozen Maiden: Träumend
Girls Bravo
"Love, Chunibyo & Other Delusions!"
Den-noh Coil
Nisemonogatari
RIN - Daughters of Mnemosyne
Revolutionary Girl Utena
Kimi ni Todoke 2nd Season
Your Lie in April
Burst Angel
Maria Watches Over Us Season 2: Printemps
Tokyo Ghoul
Kannagi: Crazy Shrine Maidens
Princess Tutu
Shaman King
Aishiteruze Baby
Initial D
Parasyte -the maxim-
ERASED
Loveless
Full Moon o Sagashite
S.A
High School DxD
Phantom ~Requiem for the Phantom~
REC
Shiki
Gintama
Sola
World God Only Knows Season Two
Green Green
Katanagatari
Noragami
My Little Monster
Dance in the Vampire Bund
Banner of the Stars
Btooom!
Sailor Moon R
Infinite Stratos
Kids on the Slope
Kiddy Grade
B Gata H Kei - Yamada’s First Time
Nodame Cantabile: Paris
Sound of the Sky
To Love-Ru
Heaven's Lost Property
Accel World
Slayers Next
.hack//Legend of the Twilight
Wallflower
Nabari no Ou
Chrome Shelled Regios
Boogiepop Phantom
HYOUKA
Prince of Tennis
Sailor Moon S
This Ugly Yet Beautiful World
ef: a tale of melodies
Gargantia on the Verdurous Planet
Hanasaku Iroha - Blossoms for Tomorrow
Ichigo 100%
Genshiken 2
Sword Art Online II
Uta∽Kata
Seitokai Yakuindomo
"Ceres, Celestial Legend"
Texhnolyze
Natsume's Book of Friends
Gunslinger Girl: Il Teatrino
Hunter × Hunter
Strike Witches
My Teen Romantic Comedy SNAFU
From the New World
Kekkaishi
GUNxSWORD
Desert Punk
Aria the Animation
ItaKiss
Witchblade
Sekirei: Pure Engagement
A Certain Magical Index II
Dusk maiden of Amnesia
Mobile Fighter G Gundam
Pet Girl of Sakurasou
Elemental Gelade
Peacemaker
Digimon Adventure 02
Log Horizon
Nyan Koi!
Night Raid 1931
